fu3Column	fu2Column	Instrument	fu3Core
id	User.code	ALL	ALL
ipaddr	DELETE	ALL	ALL
datestamp	Completed.Timestamp	ALL	ALL
submitdate	Completed	ALL	ALL
startlanguage	Language	ALL	ALL
IdCheckGender	id_check_gender	ALL	ALL
IdCheckDob	id_check_dob	ALL	ALL
TS1	ts_1	ALL	ALL
ScidCannabisD7ABCD1	SCID_D7ABCD_1_cannabis	IMGN_ESPAD	1
ScidCannabisD7ABCD2.AllThatApply	SCID_D7ABCD_2_cannabis	IMGN_ESPAD	1
ScidCannabisD7ABCD3	SCID_D7ABCD_3_cannabis	IMGN_ESPAD	1
ScidCannabisD7ABCD4	SCID_D7ABCD_4_cannabis	IMGN_ESPAD	1
ScidCannabisD7ABCD5	SCID_D7ABCD_5_cannabis	IMGN_ESPAD	1
ScidCannabisD7ABCD6	SCID_D7ABCD_6_cannabis	IMGN_ESPAD	1
dastGlue.3.	dast3glue	IMGN_ESPAD	1
dastGlue.4.	dast4glue	IMGN_ESPAD	1
dastGlue.5.	dast5glue	IMGN_ESPAD	1
dastGlue.6.	dast6glue	IMGN_ESPAD	1
dastGlue.7.	dast7glue	IMGN_ESPAD	1
dastGlue.8.	dast8glue	IMGN_ESPAD	1
dastGlue.9.	dast9glue	IMGN_ESPAD	1
dastGlue.10.	dast10glue	IMGN_ESPAD	1
dastGlue.11.	dast11glue	IMGN_ESPAD	1
dastGlue.12.	dast12glue	IMGN_ESPAD	1
dastGlue.13.	dast13glue	IMGN_ESPAD	1
dastGlue.14.	dast14glue	IMGN_ESPAD	1
dastGlue.15.	dast15glue	IMGN_ESPAD	1
dastGlue.16.	dast16glue	IMGN_ESPAD	1
dastGlue.17.	dast17glue	IMGN_ESPAD	1
dastGlue.18.	dast18glue	IMGN_ESPAD	1
dastGlue.19.	dast19glue	IMGN_ESPAD	1
dastGlue.20.	dast20glue	IMGN_ESPAD	1
ScidGlueA1AC1	SCID_A1AC_1_glue	IMGN_ESPAD	1
ScidGlueA1AC2	SCID_A1AC_2_glue	IMGN_ESPAD	1
ScidGlueA1AC3	SCID_A1AC_3_glue	IMGN_ESPAD	1
ScidGlueA1AC4	SCID_A1AC_4_glue	IMGN_ESPAD	1
ScidGlueA1AC5	SCID_A1AC_5_glue	IMGN_ESPAD	1
ScidGlueA1B1	SCID_A1B_1_glue	IMGN_ESPAD	1
ScidGlueA1B2	SCID_A1B_2_glue	IMGN_ESPAD	1
ScidGlueA1B3	SCID_A1B_3_glue	IMGN_ESPAD	1
ScidGlueA1B4	SCID_A1B_4_glue	IMGN_ESPAD	1
ScidGlueA1B5	SCID_A1B_5_glue	IMGN_ESPAD	1
ScidGlueA1D1	SCID_A1D_1_glue	IMGN_ESPAD	1
ScidGlueA1D3	SCID_A1D_3_glue	IMGN_ESPAD	1
ScidGlueA1D2	SCID_A1D_2_glue	IMGN_ESPAD	1
ScidGlueA1D4	SCID_A1D_4_glue	IMGN_ESPAD	1
ScidGlueA1D5	SCID_A1D_5_glue	IMGN_ESPAD	1
ScidGlueA1D6	SCID_A1D_6_glue	IMGN_ESPAD	1
ScidGlueA21	SCID_A2_1_glue	IMGN_ESPAD	1
ScidGlueA22	SCID_A2_2_glue	IMGN_ESPAD	1
ScidGlueA23	SCID_A2_3_glue	IMGN_ESPAD	1
ScidGlueA24	SCID_A2_4_glue	IMGN_ESPAD	1
